Year,Month,Day,Hour,Minute,Second,Temp(Sensor),Temp(WC),Hum(Sensor),Hum(WC),BatteryLevel,BatteryCharging,CloudForecast
2017,3,4,11,14,32,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,15,33,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,16,35,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,17,36,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,18,38,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,19,39,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,20,41,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,21,42,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,22,43,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,23,45,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,24,46,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,25,48,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,26,49,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,27,51,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,28,52,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,29,54,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,30,55,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,31,57,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,32,58,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,34,0,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,35,1,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,36,2,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,37,4,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,38,5,8.60,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,39,7,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,40,8,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,41,10,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,42,11,8.70,8.166666666666668,99.90,96,0.93,true,ERROR

